CommunityDistrict,BreedName,BreedCount,BreedSum
101.0,Affenpinscher,2,2300
101.0,Akita,1,2300
101.0,Akita Crossbreed,2,2300
101.0,Alaskan Malamute,2,2300
101.0,American Eskimo dog,3,2300
101.0,American Foxhound,1,2300
101.0,American Pit Bull Mix / Pit Bull Mix,21,2300
101.0,American Pit Bull Terrier/Pit Bull,15,2300
101.0,American Staffordshire Terrier ,7,2300
101.0,Anatolian Shepherd Dog,1,2300
101.0,Australian Cattle Dog,4,2300
101.0,Australian Cattledog,1,2300
101.0,Australian Kelpie,1,2300
101.0,Australian Shepherd,33,2300
101.0,Basenji,2,2300
101.0,Basset Hound,2,2300
101.0,Bassett Hound,5,2300
101.0,Beagle,42,2300
101.0,Beagle Crossbreed,23,2300
101.0,Bearded Collie,1,2300
101.0,Bedlington Terrier,2,2300
101.0,Belgian Sheepdog,1,2300
101.0,Bernese Mountain Dog,8,2300
101.0,Bichon Frise,7,2300
101.0,Border Collie,10,2300
101.0,Border Collie Crossbreed,2,2300
101.0,Border Terrier,13,2300
101.0,Borzoi,2,2300
101.0,Boston Terrier,36,2300
101.0,Boxer,17,2300
101.0,Boxer Crossbreed,1,2300
101.0,Briard,1,2300
101.0,Brittany,2,2300
101.0,Brittany Spaniel,3,2300
101.0,Brussels Griffon,13,2300
101.0,"Bull Dog, English",47,2300
101.0,"Bull Dog, French",43,2300
101.0,Bull Terrier,2,2300
101.0,Bulldog,8,2300
101.0,Cairn Terrier,9,2300
101.0,Cane Corso,2,2300
101.0,Cavalier King Charles Spaniel,54,2300
101.0,Chihuahua,95,2300
101.0,Chihuahua Crossbreed,18,2300
101.0,Chinese Crested,1,2300
101.0,Chow Chow,5,2300
101.0,Clumber Spaniel,2,2300
101.0,Cocker Spaniel,36,2300
101.0,Cocker Spaniel Crossbreed,2,2300
101.0,Collie,2,2300
101.0,Collie Crossbreed,3,2300
101.0,"Collie, Bearded ",1,2300
101.0,"Collie, Border",9,2300
101.0,"Collie, Rough Coat",2,2300
101.0,"Coonhound, Black and Tan",3,2300
101.0,"Coonhound, Treeing Walker",2,2300
101.0,Coton de Tulear,4,2300
101.0,Cotton De Tulear,5,2300
101.0,Dachshund,10,2300
101.0,Dachshund Crossbreed,3,2300
101.0,Dachshund Smooth Coat,12,2300
101.0,Dachshund Smooth Coat Miniature,11,2300
101.0,"Dachshund, Long Haired",2,2300
101.0,"Dachshund, Long Haired Miniature",9,2300
101.0,"Dachshund, Wirehaired",2,2300
101.0,"Dachshund, Wirehaired, Miniature",2,2300
101.0,Dalmatian,1,2300
101.0,Doberman Pinscher,1,2300
101.0,Dutch Shepherd,1,2300
101.0,English Cocker Spaniel,1,2300
101.0,English Foxhound,1,2300
101.0,Eurasier,1,2300
101.0,Flat-Coated Retriever,2,2300
101.0,French Bulldog,69,2300
101.0,German Shepherd Crossbreed,15,2300
101.0,German Shepherd Dog,26,2300
101.0,German Shorthaired Pointer,2,2300
101.0,German Spitz,1,2300
101.0,Golden Retriever,71,2300
101.0,Goldendoodle,13,2300
101.0,Great Dane,2,2300
101.0,Greyhound,6,2300
101.0,Havanese,61,2300
101.0,Ibizan Hound,1,2300
101.0,Irish Setter,1,2300
101.0,Irish Terrier,1,2300
101.0,Italian Greyhound,13,2300
101.0,Jack Russell Terrier,55,2300
101.0,Japanese Chin,2,2300
101.0,Japanese Chin/Spaniel,1,2300
101.0,Jindo,1,2300
101.0,"Jindo Dog, Korea",1,2300
101.0,Kerry Blue Terrier,1,2300
101.0,Labradoodle,29,2300
101.0,Labrador Retriever,104,2300
101.0,Labrador Retriever Crossbreed,46,2300
101.0,Lakeland Terrier,1,2300
101.0,Lhasa Apso,5,2300
101.0,Lowchen,1,2300
101.0,Maltese,56,2300
101.0,Maltese Crossbreed,7,2300
101.0,Maltipoo,9,2300
101.0,Manchester Terrier,1,2300
101.0,Mastiff,1,2300
101.0,"Mastiff, Old English",1,2300
101.0,Miniature American Shepherd,6,2300
101.0,Miniature Pinscher,14,2300
101.0,Miniature Schnauzer,8,2300
101.0,Morkie,15,2300
101.0,Newfoundland,2,2300
101.0,Norfolk Terrier,3,2300
101.0,Norwegian Elkhound,1,2300
101.0,Norwich Terrier,2,2300
101.0,Old English Sheepdog,2,2300
101.0,Papillon,10,2300
101.0,Parson Russell Terrier,3,2300
101.0,Pekingese,9,2300
101.0,Pembroke Welsh Corgi,5,2300
101.0,Pharaoh Hound,1,2300
101.0,"Pointer, German Shorthaired",1,2300
101.0,Polish Lowland Sheepdog,1,2300
101.0,Pomeranian,38,2300
101.0,Pomeranian Crossbreed,3,2300
101.0,Poodle,22,2300
101.0,Poodle Crossbreed,12,2300
101.0,"Poodle, Miniature",33,2300
101.0,"Poodle, Standard",15,2300
101.0,"Poodle, Toy",28,2300
101.0,Portuguese Water Dog,8,2300
